display,left_image,right_image,left_image_90,right_image_90,target_duration,target_duration_90,ANSWER,meta_left_number,meta_right_number,meta_ratio,meta_ratio_group,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,inst_text.started,inst_keyresp.started,text_2.started,inst_keyresp.keys,inst_keyresp.rt,blank_1000_text.started,etRecord.started,etRecord.stopped,blank_1000_text.stopped,fixation.started,roi_left.started,roi_right.started,roi_centre.started,roi_screen.started,roi_left_number.started,roi_right_number.started,target_left.started,target_right.started,target_left_90.started,target_left_90.stopped,target_right_90.started,target_right_90.stopped,trial_key_resp.started,fixation.stopped,trial_key_resp.keys,trial_key_resp.corr,trial_key_resp.rt,roi_left.numLooks,roi_left.timesOn,roi_left.timesOff,roi_right.numLooks,roi_right.timesOn,roi_right.timesOff,roi_centre.numLooks,roi_centre.timesOn,roi_centre.timesOff,roi_screen.numLooks,roi_screen.timesOn,roi_screen.timesOff,roi_left_number.numLooks,roi_left_number.timesOn,roi_left_number.timesOff,roi_right_number.numLooks,roi_right_number.timesOn,roi_right_number.timesOff,break_key_resp.keys,blank_500_text.started,blank_500_text.stopped,text_4.started,break_key_resp.started,break_key_resp.rt,inst_text_2.started,inst_keyresp_2.started,text_3.started,inst_keyresp_2.keys,inst_keyresp_2.rt,target_left.stopped,target_right.stopped,text.started,etRecord_end.started,etRecord_end.stopped,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,187.47481489996426,197.47578230011277,197.47578230011277,space,3.587074700044468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0601,001,2023-02-06_16h57.47.462,mag_comparison_numeral,2022.2.5,60.00578454579195,
trial,009.png,008.png,009.png,008.png,3,0,left,9,8,0.8888888888888888,high,0,0,0,35,,,,,,,,,,202.4074637000449,1.3244811999611557,1.3244811999611557,203.4928061000537,203.4928061000537,203.4928061000537,203.4928061000537,203.4928061000537,203.4928061000537,203.4928061000537,203.4928061000537,204.42634380003437,204.42634380003437,204.42634380003437,204.42634380003437,204.42634380003437,204.42634380003437,204.42634380003437,204.50985120004043,left,1,0.6291956999339163,1,[1.2228161999955773],[1.6205466999672353],0,,,0,,,2,"[0.009462800109758973, 0.34620280005037785]","[0.09691690001636744, 1.1783133000135422]",1,[1.2258644001558423],[1.622860100120306],0,,,None,205.10953980009072,,,,,,,,,,,,,,,,0601,001,2023-02-06_16h57.47.462,mag_comparison_numeral,2022.2.5,60.00578454579195,
trial,001.png,009.png,001.png,009.png,3,0,right,1,9,0.1111111111111111,low,0,1,1,40,,,,,,,,,,,,,,205.6433920999989,205.6433920999989,205.6433920999989,205.6433920999989,205.6433920999989,205.6433920999989,205.6433920999989,206.59324509999715,206.59324509999715,206.59324509999715,206.59324509999715,206.59324509999715,206.59324509999715,206.59324509999715,206.65985990012996,right,1,0.5992181999608874,0,,,0,,,1,[1.265065599931404],[1.6033791999798268],1,[0.007398399990051985],[1.6042438999284059],0,,,1,[1.3030619998462498],[1.6057925999630243],None,207.25997050013393,,,,,,,,,,,,,,,,0601,001,2023-02-06_16h57.47.462,mag_comparison_numeral,2022.2.5,60.00578454579195,
trial,006.png,001.png,006.png,001.png,3,0,left,6,1,0.16666666666666666,low,0,2,2,19,,,,,,,,,,,,,,207.82658979995176,207.82658979995176,207.82658979995176,207.82658979995176,207.82658979995176,207.82658979995176,207.82658979995176,208.7598435000982,208.7598435000982,208.7598435000982,208.7598435000982,208.7598435000982,208.7598435000982,208.7598435000982,208.82644960004836,left,1,0.695611200062558,1,[1.2917035999707878],[1.6953837999608368],0,,,0,,,1,[0.6382846001069993],[1.2927116001956165],1,[1.3250094999093562],[1.697436299873516],0,,,None,209.5434465999715,,,,,,,,,,,,,,,,0601,001,2023-02-06_16h57.47.462,mag_comparison_numeral,2022.2.5,60.00578454579195,
trial,003.png,006.png,003.png,006.png,3,0,right,3,6,0.5,medium,0,3,3,43,,,,,,,,,,,,,,210.07704870007,210.07704870007,210.07704870007,210.07704870007,210.07704870007,210.07704870007,210.07704870007,211.04333080002107,211.04333080002107,211.04333080002107,211.04333080002107,211.04333080002107,211.04333080002107,211.04333080002107,211.11017540004104,right,1,0.68392249988392,0,,,3,"[1.410489299800247, 1.5062386998906732, 1.613926799967885]","[1.4418816999532282, 1.5503902998752892, 1.7178693998139352]",1,[1.3419704001862556],[1.7184559002052993],5,"[0.08387780003249645, 0.17959850002080202, 1.342269100015983, 1.442954400088638, 1.5510319001041353]","[0.14679899998009205, 1.310594700044021, 1.411581400083378, 1.5074006000068039, 1.6146524001378566]",0,,,1,[1.3823365001007915],[1.7202862000558525],None,211.81044100015424,,,,,,,,,,,,,,,,0601,001,2023-02-06_16h57.47.462,mag_comparison_numeral,2022.2.5,60.00578454579195,
trial,001.png,005.png,001.png,005.png,3,0,right,1,5,0.2,low,0,4,4,36,,,,,,,,,,,,,,212.3936692001298,212.3936692001298,212.3936692001298,212.3936692001298,212.3936692001298,212.3936692001298,212.3936692001298,213.3270364999771,213.3270364999771,213.3270364999771,213.3270364999771,213.3270364999771,213.3270364999771,213.3270364999771,213.42705960012972,right,1,0.8723458000458777,2,"[1.4118546000681818, 1.477697900030762]","[1.4627264998853207, 1.503420100081712]",0,,,1,[1.6315743001177907],[1.8486111001111567],3,"[0.032674199901521206, 1.0981330999638885, 1.6318540999200195]","[1.0725883999839425, 1.2956310000736266, 1.8491146999876946]",1,[1.3327697000931948],[1.6054695001803339],1,[1.6659743001218885],[1.8502114999573678],None,214.26059300010093,,,,,,,,,,,,,,,,0601,001,2023-02-06_16h57.47.462,mag_comparison_numeral,2022.2.5,60.00578454579195,
trial,006.png,007.png,006.png,007.png,3,0,right,6,7,0.8571428571428571,high,0,5,5,14,,,,,,,,,,,,,,214.82701150001958,214.82701150001958,214.82701150001958,214.82701150001958,214.82701150001958,214.82701150001958,214.82701150001958,215.76051940000616,215.76051940000616,215.76051940000616,215.76051940000616,215.76051940000616,215.76051940000616,215.76051940000616,215.86071950010955,right,1,1.095913999946788,1,[1.4758931000251323],[1.8118210001848638],1,[1.3479730000253767],[1.3796113000717014],2,"[1.2846492000389844, 1.8653329000808299]","[1.444891900056973, 2.084620099980384]",4,"[0.3100578000303358, 1.318376500159502, 1.380398100009188, 1.8131637000478804]","[1.2318256001453847, 1.348800600040704, 1.412575000198558, 2.0855647001881152]",1,[1.4776006999891251],[1.781712100142613],2,"[1.3192980999592692, 1.866526700090617]","[1.413355200085789, 2.0863805999979377]",None,216.9276400001254,,,,,,,,,,,,,,,,0601,001,2023-02-06_16h57.47.462,mag_comparison_numeral,2022.2.5,60.00578454579195,
trial,005.png,004.png,005.png,004.png,3,0,left,5,4,0.8,high,0,6,6,45,,,,,,,,,,,,,,217.46065589995123,217.46065589995123,217.46065589995123,217.46065589995123,217.46065589995123,217.46065589995123,217.46065589995123,218.41075070016086,218.41075070016086,218.41075070016086,218.41075070016086,218.41075070016086,218.41075070016086,218.41075070016086,218.4777347999625,left,1,1.3006718000397086,2,"[1.3094517001882195, 2.0135708001907915]","[1.7206782000139356, 2.288005900103599]",1,[1.8230777001008391],[1.9823759000282735],1,[1.7580919999163598],[1.982805100036785],3,"[0.008132999995723367, 0.2380886001046747, 1.7583286000881344]","[0.14148869994096458, 1.277383399894461, 1.8237513001076877]",2,"[1.3110026000067592, 2.046151400078088]","[1.7224990001413971, 2.2893882000353187]",1,[1.7908514000009745],[1.98383569996804],None,219.77743110014126,,,,,,,,,,,,,,,,0601,001,2023-02-06_16h57.47.462,mag_comparison_numeral,2022.2.5,60.00578454579195,
trial,009.png,002.png,009.png,002.png,3,0,left,9,2,0.2222222222222222,low,0,7,7,6,,,,,,,,,,,,,,220.29435700015165,220.29435700015165,220.29435700015165,220.29435700015165,220.29435700015165,220.29435700015165,220.29435700015165,221.2442046001088,221.2442046001088,221.2442046001088,221.2442046001088,221.2442046001088,221.2442046001088,221.2442046001088,221.32776909996755,left,1,0.995530900079757,2,"[1.24334830022417, 1.9100858001038432]","[1.5768878001254052, 1.9768988001160324]",1,[1.6444613998755813],[1.8422280999366194],1,[1.578660200117156],[1.8776913001202047],6,"[0.32301619998179376, 0.43677560007199645, 0.6276517000515014, 0.7271084000822157, 0.8268267000094056, 1.6123299999162555]","[0.4028207000810653, 0.5007458000909537, 0.6933218000922352, 0.8050134999211878, 0.8610712999943644, 1.6456808999646455]",2,"[1.3005089999642223, 1.913858300074935]","[1.5458545999135822, 1.980189000023529]",1,[1.6135281000752002],[1.8449248999822885],None,222.2945320000872,,,,,,,,,,,,,,,,0601,001,2023-02-06_16h57.47.462,mag_comparison_numeral,2022.2.5,60.00578454579195,
trial,009.png,007.png,009.png,007.png,3,0,left,9,7,0.7777777777777778,high,0,8,8,52,,,,,,,,,,,,,,222.81169719994068,222.81169719994068,222.81169719994068,222.81169719994068,222.81169719994068,222.81169719994068,222.81169719994068,223.81138900015503,223.81138900015503,223.81138900015503,223.81138900015503,223.81138900015503,223.81138900015503,223.81138900015503,223.84496170002967,left,1,0.8277704000938684,1,[1.3268999999854714],[1.869157100096345],0,,,0,,,4,"[0.14337860001251101, 0.21161380014382303, 0.5539281000383198, 0.6222336001228541]","[0.1763671999797225, 0.48914550011977553, 0.5890115001238883, 1.2944579001050442]",1,[1.3315850000362843],[1.871866000117734],0,,,None,224.7114512999542,,,,,,,,,,,,,,,,0601,001,2023-02-06_16h57.47.462,mag_comparison_numeral,2022.2.5,60.00578454579195,
